item_id,name,category,style,material,color,brand,price
item48,Vintage Sofa,Table,Industrial,Glass,Black,Herman Miller,872.25
item49,Industrial Bed,Bed,Vintage,Glass,Brown,Ashley,862.56
item50,Vintage Bed,Bed,Modern,Wood,Gray,Wayfair,898.94
item51,Vintage Sofa,Bed,Industrial,Glass,Black,West Elm,297.23
item52,Modern Table,Chair,Modern,Metal,Brown,Ashley,372.26
item53,Rustic Chair,Chair,Vintage,Velvet,Black,Herman Miller,254.56
item54,Minimalist Table,Chair,Minimalist,Velvet,Black,Ashley,85.96
item55,Industrial Bed,Cabinet,Industrial,Metal,Brown,Ashley,626.99
item56,Vintage Sofa,Bed,Modern,Wood,Black,Ashley,385.78
item57,Industrial Bed,Chair,Modern,Velvet,Black,West Elm,417.49
item58,Vintage Cabinet,Cabinet,Vintage,Velvet,Black,Ashley,542.31
item59,Modern Cabinet,Sofa,Vintage,Glass,Black,West Elm,603.55
item60,Rustic Sofa,Bed,Modern,Wood,White,Herman Miller,830.78
item61,Minimalist Sofa,Chair,Rustic,Leather,Brown,IKEA,642.58
item62,Vintage Table,Bed,Vintage,Metal,Black,IKEA,309.7
item63,Minimalist Bed,Bed,Vintage,Metal,Blue,Herman Miller,265.74
item64,Modern Table,Chair,Industrial,Velvet,Gray,Wayfair,264.6
item65,Modern Sofa,Table,Rustic,Wood,Blue,Wayfair,486.26
item66,Modern Cabinet,Chair,Modern,Velvet,Brown,IKEA,403.44
item67,Minimalist Bed,Table,Rustic,Wood,White,West Elm,702.3
item68,Vintage Sofa,Chair,Rustic,Leather,Black,Ashley,476.57
item69,Modern Table,Sofa,Vintage,Glass,White,Herman Miller,682.93
item70,Vintage Table,Cabinet,Minimalist,Glass,Black,Ashley,297.68
item71,Minimalist Table,Sofa,Industrial,Wood,Brown,Wayfair,76.15
item72,Vintage Cabinet,Table,Rustic,Metal,White,Herman Miller,295.17
item73,Rustic Sofa,Sofa,Vintage,Metal,Gray,Wayfair,950.27
item74,Rustic Chair,Sofa,Minimalist,Wood,Gray,Ashley,416.44
item75,Minimalist Sofa,Sofa,Vintage,Leather,Brown,Ashley,442.28
item76,Vintage Bed,Cabinet,Minimalist,Metal,Gray,Ashley,201.38
item77,Rustic Chair,Bed,Rustic,Wood,Gray,West Elm,254.02
item78,Rustic Table,Chair,Minimalist,Velvet,Brown,West Elm,286.31
item79,Modern Cabinet,Cabinet,Rustic,Velvet,White,West Elm,756.29
item80,Modern Bed,Table,Industrial,Velvet,Black,Herman Miller,741.11
item81,Minimalist Cabinet,Bed,Vintage,Metal,Blue,Ashley,629.99
item82,Modern Sofa,Table,Vintage,Metal,Gray,Wayfair,511.91
item83,Rustic Sofa,Chair,Industrial,Metal,White,West Elm,150.42
item84,Rustic Cabinet,Bed,Industrial,Metal,Blue,Wayfair,919.04
item85,Industrial Bed,Bed,Modern,Velvet,Blue,Wayfair,282.87
item86,Modern Sofa,Cabinet,Minimalist,Glass,Black,Wayfair,754.73
item87,Rustic Chair,Cabinet,Industrial,Glass,Brown,Herman Miller,975.76
item88,Vintage Table,Bed,Rustic,Metal,Blue,IKEA,959.89
item89,Industrial Table,Sofa,Modern,Glass,Brown,West Elm,347.55
item90,Vintage Cabinet,Sofa,Modern,Leather,Gray,West Elm,248.6
item91,Rustic Chair,Chair,Vintage,Wood,Blue,Wayfair,411.74
item92,Vintage Chair,Bed,Industrial,Glass,Gray,IKEA,950.04
item93,Minimalist Sofa,Sofa,Vintage,Glass,Black,West Elm,379.51
item94,Minimalist Sofa,Cabinet,Vintage,Velvet,Blue,Herman Miller,391.15
item95,Industrial Sofa,Table,Industrial,Glass,Brown,Herman Miller,80.16
item96,Rustic Chair,Chair,Rustic,Leather,Gray,Wayfair,532.61
item97,Industrial Sofa,Table,Industrial,Leather,Gray,Ashley,410.64
item98,Minimalist Table,Sofa,Industrial,Leather,Black,Ashley,890.34
item99,Vintage Chair,Chair,Rustic,Velvet,Blue,Wayfair,91.49
item100,Vintage Sofa,Sofa,Rustic,Leather,Black,Wayfair,502.39
item101,Minimalist Table,Bed,Minimalist,Velvet,Gray,IKEA,557.43
item102,Minimalist Chair,Bed,Vintage,Velvet,White,West Elm,666.65
item103,Minimalist Chair,Bed,Industrial,Metal,Blue,Herman Miller,749.58
item104,Modern Sofa,Sofa,Minimalist,Wood,Brown,Wayfair,77.36
item105,Industrial Table,Sofa,Vintage,Metal,Brown,Ashley,640.01
item106,Vintage Cabinet,Chair,Vintage,Wood,Brown,West Elm,420.51
item107,Industrial Bed,Chair,Modern,Metal,Black,Herman Miller,278.73
item108,Minimalist Table,Chair,Minimalist,Wood,Black,Wayfair,358.01
item109,Industrial Chair,Sofa,Modern,Leather,Black,West Elm,613.63
item110,Modern Cabinet,Table,Minimalist,Velvet,Gray,Wayfair,87.85
item111,Industrial Table,Chair,Modern,Velvet,Brown,Herman Miller,517.6
item112,Rustic Sofa,Table,Rustic,Wood,Blue,West Elm,625.08
item113,Minimalist Chair,Sofa,Minimalist,Metal,Black,Wayfair,159.69
item114,Industrial Table,Sofa,Modern,Glass,White,Ashley,905.32
item115,Industrial Table,Table,Rustic,Wood,White,Ashley,171.56
item116,Modern Bed,Cabinet,Vintage,Glass,Blue,Wayfair,723.8
item117,Minimalist Sofa,Table,Minimalist,Glass,Gray,IKEA,792.22
item118,Industrial Table,Table,Vintage,Metal,Blue,West Elm,217.75
item119,Industrial Chair,Chair,Vintage,Glass,White,Wayfair,808.29
item120,Industrial Cabinet,Bed,Vintage,Metal,Black,Ashley,807.75
item121,Rustic Sofa,Sofa,Industrial,Wood,Brown,Herman Miller,868.48
item122,Vintage Sofa,Sofa,Industrial,Leather,Black,West Elm,759.57
item123,Rustic Sofa,Cabinet,Modern,Metal,Brown,IKEA,892.28
item124,Modern Cabinet,Cabinet,Industrial,Metal,Brown,West Elm,520.29
item125,Vintage Bed,Cabinet,Modern,Glass,Blue,Ashley,791.56
item126,Rustic Table,Bed,Rustic,Metal,Brown,Ashley,501.37
item127,Rustic Table,Table,Minimalist,Metal,Brown,IKEA,760.01
item128,Vintage Sofa,Bed,Industrial,Velvet,Brown,Ashley,554.54
item129,Minimalist Cabinet,Bed,Industrial,Metal,Black,Herman Miller,459.27
item130,Modern Cabinet,Cabinet,Vintage,Wood,Blue,Wayfair,632.08
item131,Minimalist Table,Table,Minimalist,Leather,Blue,Ashley,669.68
item132,Modern Chair,Table,Rustic,Wood,Brown,West Elm,904.04
item133,Minimalist Sofa,Table,Modern,Glass,Brown,Herman Miller,109.86
item134,Industrial Cabinet,Table,Vintage,Velvet,Brown,Herman Miller,752.02
item135,Rustic Bed,Bed,Modern,Wood,White,West Elm,623.73
item136,Industrial Chair,Bed,Minimalist,Wood,Blue,Herman Miller,777.72
item137,Rustic Chair,Sofa,Minimalist,Velvet,Blue,IKEA,129.79
item138,Minimalist Cabinet,Chair,Industrial,Metal,Gray,Herman Miller,270.75
item139,Modern Table,Bed,Vintage,Wood,Black,West Elm,334.07
item140,Minimalist Chair,Bed,Minimalist,Leather,Blue,Wayfair,281.04
item141,Minimalist Bed,Cabinet,Vintage,Wood,White,Wayfair,702.15
item142,Modern Cabinet,Bed,Rustic,Metal,Blue,IKEA,856.26
item143,Rustic Sofa,Sofa,Modern,Glass,Brown,IKEA,896.8
item144,Modern Table,Cabinet,Rustic,Wood,Black,IKEA,980.82
item145,Industrial Cabinet,Chair,Modern,Wood,White,Herman Miller,799.9
item146,Vintage Bed,Chair,Vintage,Metal,Brown,Ashley,469.23
item147,Minimalist Chair,Chair,Industrial,Leather,Black,Ashley,237.51
item148,Industrial Chair,Bed,Industrial,Glass,Black,Herman Miller,811.89
item149,Vintage Bed,Table,Minimalist,Metal,White,West Elm,709.75
item150,Industrial Bed,Sofa,Rustic,Velvet,Brown,Wayfair,354.02
item151,Vintage Sofa,Table,Minimalist,Velvet,Gray,Wayfair,767.83
item152,Minimalist Chair,Chair,Modern,Leather,Black,Ashley,852.31
item153,Minimalist Sofa,Table,Minimalist,Leather,Gray,West Elm,939.14
item154,Rustic Cabinet,Sofa,Minimalist,Glass,White,Ashley,95.22
item155,Modern Chair,Chair,Vintage,Wood,Black,West Elm,807.21
item156,Minimalist Sofa,Chair,Rustic,Leather,White,West Elm,944.69
item157,Rustic Chair,Chair,Vintage,Velvet,Black,West Elm,647.73
item158,Minimalist Table,Chair,Minimalist,Leather,Black,Wayfair,986.6
item159,Modern Sofa,Sofa,Minimalist,Velvet,Gray,Herman Miller,920.09
item160,Vintage Sofa,Table,Modern,Glass,Black,IKEA,288.19
item161,Industrial Table,Cabinet,Modern,Velvet,Brown,Ashley,752.43
item162,Industrial Table,Sofa,Minimalist,Velvet,Blue,Ashley,304.61
item163,Vintage Sofa,Cabinet,Minimalist,Leather,Blue,IKEA,687.5
item164,Vintage Sofa,Chair,Industrial,Metal,Blue,IKEA,584.54
item165,Minimalist Sofa,Cabinet,Rustic,Velvet,Gray,West Elm,587.49
item166,Vintage Sofa,Bed,Rustic,Wood,Black,Wayfair,801.39
item167,Vintage Bed,Chair,Modern,Metal,Black,IKEA,721.69
item168,Industrial Bed,Table,Vintage,Glass,Brown,Herman Miller,180.97
item169,Industrial Chair,Chair,Rustic,Wood,Blue,Ashley,124.75
item170,Vintage Bed,Cabinet,Vintage,Metal,Gray,West Elm,326.45
item171,Modern Table,Table,Industrial,Glass,Blue,Ashley,980.04
item172,Modern Table,Table,Industrial,Glass,White,Herman Miller,304.32
item173,Vintage Sofa,Cabinet,Rustic,Leather,Black,West Elm,128.21
item174,Vintage Sofa,Bed,Industrial,Glass,Gray,Wayfair,716.26
item175,Vintage Cabinet,Bed,Vintage,Leather,Gray,IKEA,389.9
item176,Modern Chair,Sofa,Minimalist,Leather,Brown,Herman Miller,887.23
item177,Minimalist Bed,Sofa,Modern,Metal,Gray,IKEA,914.57
item178,Vintage Chair,Table,Modern,Metal,Blue,IKEA,918.5
item179,Industrial Sofa,Table,Industrial,Leather,Gray,IKEA,590.52
item180,Modern Bed,Chair,Rustic,Leather,Gray,Ashley,562.47
item181,Rustic Cabinet,Bed,Industrial,Velvet,Black,West Elm,524.98
item182,Vintage Cabinet,Chair,Industrial,Velvet,Black,West Elm,74.95
item183,Rustic Chair,Cabinet,Modern,Glass,Black,Ashley,575.7
item184,Minimalist Cabinet,Bed,Rustic,Wood,Gray,IKEA,984.72
item185,Modern Cabinet,Table,Modern,Glass,Black,Ashley,167.38
item186,Vintage Chair,Table,Industrial,Wood,Brown,West Elm,659.65
item187,Rustic Sofa,Chair,Modern,Metal,Brown,West Elm,493.57
item188,Modern Cabinet,Cabinet,Industrial,Wood,White,Wayfair,941.68
item189,Vintage Chair,Bed,Modern,Velvet,Blue,West Elm,116.52
item190,Minimalist Sofa,Chair,Minimalist,Leather,Brown,IKEA,344.5
item191,Rustic Chair,Cabinet,Minimalist,Leather,Brown,West Elm,348.03
item192,Industrial Bed,Cabinet,Vintage,Metal,Gray,Ashley,761.93
item193,Minimalist Bed,Table,Modern,Metal,Blue,Herman Miller,360.03
item194,Vintage Bed,Chair,Vintage,Glass,Black,IKEA,181.62
item195,Industrial Bed,Cabinet,Industrial,Metal,Brown,West Elm,644.73
item196,Modern Table,Sofa,Industrial,Leather,Brown,Herman Miller,927.62
item197,Minimalist Chair,Sofa,Rustic,Leather,Brown,Wayfair,984.03
item198,Modern Cabinet,Sofa,Rustic,Velvet,Blue,West Elm,488.11
item199,Modern Cabinet,Chair,Industrial,Wood,Gray,IKEA,653.43
item200,Industrial Cabinet,Table,Minimalist,Glass,Blue,West Elm,939.64
item201,Industrial Sofa,Table,Modern,Leather,Blue,Ashley,856.44
item202,Minimalist Sofa,Cabinet,Vintage,Leather,Brown,West Elm,959.28
item203,Modern Sofa,Sofa,Minimalist,Leather,Black,Ashley,79.24
item204,Rustic Chair,Cabinet,Rustic,Metal,Gray,Herman Miller,759.15
item205,Modern Chair,Sofa,Vintage,Velvet,Blue,Wayfair,882.08
item206,Minimalist Chair,Table,Minimalist,Velvet,Black,Ashley,795.06
item207,Minimalist Sofa,Bed,Modern,Metal,Blue,Wayfair,763.37
item208,Modern Sofa,Sofa,Modern,Leather,Gray,Herman Miller,51.74
item209,Vintage Table,Cabinet,Modern,Leather,Brown,Herman Miller,104.5
item210,Modern Bed,Sofa,Modern,Velvet,White,Herman Miller,762.7
item211,Minimalist Bed,Sofa,Industrial,Glass,Brown,Herman Miller,313.57
item212,Minimalist Table,Chair,Minimalist,Wood,White,IKEA,817.64
item213,Rustic Chair,Bed,Vintage,Metal,White,Herman Miller,447.76
item214,Modern Table,Bed,Modern,Metal,Blue,IKEA,659.66
item215,Vintage Cabinet,Bed,Minimalist,Leather,Black,West Elm,231.58
item216,Modern Bed,Table,Rustic,Glass,Black,Ashley,752.78
item217,Vintage Chair,Bed,Industrial,Glass,Brown,Wayfair,207.1
item218,Industrial Bed,Sofa,Modern,Metal,Black,Herman Miller,827.73
item219,Industrial Table,Cabinet,Rustic,Metal,Gray,IKEA,78.53
item220,Vintage Bed,Sofa,Industrial,Metal,Gray,Ashley,575.18
item221,Minimalist Chair,Chair,Modern,Glass,Brown,Ashley,155.38
item222,Vintage Table,Sofa,Industrial,Glass,Brown,IKEA,985.81
item223,Rustic Sofa,Table,Modern,Glass,Blue,Herman Miller,279.74
item224,Rustic Sofa,Table,Modern,Leather,White,Ashley,329.92
item225,Modern Table,Sofa,Modern,Velvet,White,IKEA,68.91
item226,Rustic Cabinet,Chair,Vintage,Leather,Brown,Wayfair,258.35
item227,Modern Cabinet,Bed,Minimalist,Leather,White,Herman Miller,178.23
item228,Rustic Table,Bed,Minimalist,Metal,Blue,Ashley,364.56
item229,Modern Chair,Sofa,Minimalist,Glass,Brown,IKEA,158.78
item230,Industrial Bed,Table,Modern,Wood,Gray,IKEA,256.44
item231,Industrial Table,Bed,Rustic,Leather,Brown,IKEA,701.28
item232,Modern Sofa,Sofa,Vintage,Leather,Black,Herman Miller,560.6
item233,Industrial Bed,Cabinet,Rustic,Metal,Gray,Ashley,106.59
item234,Minimalist Cabinet,Table,Vintage,Velvet,Brown,Herman Miller,992.09
item235,Industrial Chair,Chair,Vintage,Leather,Blue,Ashley,464.24
item236,Modern Cabinet,Sofa,Rustic,Metal,Brown,Herman Miller,774.59
item237,Vintage Table,Bed,Industrial,Metal,Black,Ashley,641.61
item238,Vintage Sofa,Bed,Vintage,Glass,Gray,Wayfair,92.12
item239,Vintage Sofa,Bed,Modern,Velvet,Black,Wayfair,790.33
item240,Vintage Bed,Bed,Minimalist,Velvet,Black,IKEA,78.02
item241,Minimalist Bed,Sofa,Vintage,Leather,Black,West Elm,987.24
item242,Vintage Cabinet,Bed,Rustic,Glass,Black,Herman Miller,946.7
item243,Rustic Table,Bed,Vintage,Wood,Brown,West Elm,605.45
item244,Industrial Chair,Cabinet,Rustic,Metal,Blue,West Elm,583.98
item245,Minimalist Bed,Cabinet,Rustic,Wood,Blue,IKEA,974.46
item246,Modern Chair,Chair,Modern,Glass,Blue,IKEA,221.61
item247,Minimalist Bed,Chair,Vintage,Glass,Blue,Herman Miller,286.74
item248,Modern Table,Bed,Rustic,Leather,Blue,Herman Miller,932.32
item249,Vintage Bed,Sofa,Industrial,Wood,Brown,Herman Miller,828.86
item250,Minimalist Sofa,Sofa,Vintage,Metal,Brown,Herman Miller,451.48
item251,Rustic Sofa,Chair,Minimalist,Glass,Gray,West Elm,152.81
item252,Minimalist Sofa,Sofa,Rustic,Metal,Gray,West Elm,439.63
item253,Vintage Table,Table,Modern,Glass,Black,West Elm,958.87
item254,Rustic Chair,Table,Industrial,Wood,Black,West Elm,761.93
item255,Minimalist Cabinet,Bed,Rustic,Wood,Blue,Wayfair,644.0
item256,Modern Bed,Chair,Minimalist,Velvet,Black,West Elm,907.75
item257,Rustic Table,Sofa,Vintage,Glass,Black,West Elm,950.66
item258,Vintage Table,Cabinet,Vintage,Glass,Black,Herman Miller,370.43
item259,Minimalist Bed,Chair,Rustic,Metal,White,Wayfair,88.27
item260,Rustic Chair,Table,Industrial,Metal,White,Ashley,992.15
item261,Vintage Bed,Bed,Industrial,Leather,Black,West Elm,781.82
item262,Industrial Sofa,Chair,Vintage,Metal,Black,Herman Miller,263.65
item263,Rustic Sofa,Table,Modern,Metal,Black,West Elm,746.27
item264,Modern Table,Sofa,Modern,Metal,Black,West Elm,648.71
item265,Rustic Cabinet,Bed,Vintage,Wood,Black,IKEA,845.76
item266,Minimalist Table,Sofa,Vintage,Wood,White,Wayfair,231.95
item267,Industrial Table,Sofa,Rustic,Leather,Blue,West Elm,936.34
item268,Industrial Bed,Chair,Modern,Leather,Blue,West Elm,175.12
item269,Minimalist Sofa,Cabinet,Vintage,Leather,White,Wayfair,507.05
item270,Vintage Sofa,Chair,Minimalist,Wood,Gray,West Elm,915.99
item271,Minimalist Sofa,Chair,Industrial,Leather,White,Wayfair,913.24
item272,Rustic Sofa,Chair,Vintage,Leather,White,Ashley,385.24
item273,Vintage Cabinet,Cabinet,Industrial,Velvet,Brown,Wayfair,542.01
item274,Rustic Sofa,Sofa,Vintage,Glass,Gray,Herman Miller,905.29
item275,Modern Sofa,Bed,Rustic,Leather,Gray,Ashley,818.91
item276,Modern Chair,Bed,Modern,Leather,Brown,Wayfair,676.95
item277,Rustic Cabinet,Chair,Industrial,Metal,Black,Ashley,277.83
item278,Modern Bed,Table,Modern,Metal,Gray,Herman Miller,421.67
item279,Rustic Cabinet,Sofa,Minimalist,Wood,Gray,West Elm,868.53
item280,Rustic Table,Bed,Minimalist,Leather,Brown,Herman Miller,827.51
item281,Industrial Chair,Sofa,Minimalist,Glass,Gray,IKEA,430.51
item282,Vintage Table,Bed,Industrial,Velvet,Blue,Herman Miller,406.81
item283,Industrial Table,Chair,Industrial,Wood,White,Herman Miller,935.67
item284,Minimalist Chair,Table,Industrial,Velvet,Blue,Herman Miller,996.52
item285,Industrial Table,Cabinet,Vintage,Glass,Black,West Elm,794.4
item286,Modern Bed,Table,Minimalist,Leather,Brown,West Elm,680.73
item287,Rustic Cabinet,Table,Vintage,Metal,White,Wayfair,537.34
item288,Industrial Table,Table,Industrial,Metal,White,West Elm,859.3
item289,Minimalist Table,Bed,Rustic,Glass,Blue,West Elm,835.7
item290,Industrial Table,Bed,Vintage,Velvet,Blue,Herman Miller,792.68
item291,Rustic Sofa,Table,Modern,Leather,Gray,West Elm,919.2
item292,Modern Table,Cabinet,Vintage,Wood,Gray,Ashley,875.56
item293,Industrial Cabinet,Chair,Industrial,Metal,Gray,Ashley,793.28
item294,Modern Sofa,Bed,Rustic,Glass,Brown,West Elm,699.04
item295,Rustic Table,Bed,Modern,Wood,Blue,Wayfair,927.89
item296,Industrial Cabinet,Sofa,Industrial,Wood,Black,IKEA,668.06
item297,Minimalist Table,Chair,Vintage,Glass,Brown,Herman Miller,333.2
item298,Vintage Table,Table,Minimalist,Leather,Brown,Herman Miller,819.3
item299,Rustic Chair,Table,Rustic,Wood,White,West Elm,729.66
item300,Industrial Sofa,Sofa,Minimalist,Glass,Gray,West Elm,629.35
item301,Modern Bed,Cabinet,Vintage,Leather,Blue,Wayfair,485.94
item302,Vintage Sofa,Table,Vintage,Wood,Gray,West Elm,483.7
item303,Vintage Cabinet,Cabinet,Minimalist,Wood,Blue,Herman Miller,815.41
item304,Industrial Table,Sofa,Rustic,Wood,Gray,Ashley,527.09
item305,Rustic Bed,Bed,Rustic,Glass,Brown,Ashley,758.47
item306,Minimalist Chair,Sofa,Minimalist,Velvet,Black,Wayfair,455.28
item307,Minimalist Chair,Chair,Minimalist,Wood,White,Herman Miller,466.49
item308,Industrial Bed,Cabinet,Vintage,Glass,Gray,Herman Miller,712.24
item309,Vintage Sofa,Table,Modern,Velvet,Brown,Herman Miller,818.34
item310,Minimalist Bed,Bed,Minimalist,Glass,White,Ashley,452.69
item311,Industrial Chair,Bed,Minimalist,Leather,Black,IKEA,725.42
item312,Industrial Chair,Table,Minimalist,Velvet,Black,Herman Miller,609.43
item313,Vintage Table,Cabinet,Rustic,Glass,Black,Ashley,965.21
item314,Minimalist Chair,Cabinet,Vintage,Wood,Black,Ashley,433.57
item315,Rustic Cabinet,Sofa,Modern,Velvet,Brown,West Elm,785.14
item316,Minimalist Bed,Table,Rustic,Metal,Brown,Ashley,579.1
item317,Modern Chair,Chair,Industrial,Velvet,White,Herman Miller,367.33
item318,Industrial Sofa,Sofa,Vintage,Leather,Black,West Elm,789.97
item319,Vintage Cabinet,Chair,Modern,Glass,Blue,Ashley,121.86
item320,Vintage Sofa,Sofa,Modern,Velvet,Black,Ashley,658.94
item321,Minimalist Chair,Bed,Minimalist,Leather,White,Herman Miller,716.46
item322,Minimalist Sofa,Bed,Vintage,Wood,White,Wayfair,401.03
item323,Modern Bed,Bed,Vintage,Glass,White,Herman Miller,555.67
item324,Vintage Bed,Table,Industrial,Metal,Black,Ashley,781.08
item325,Modern Bed,Cabinet,Modern,Metal,White,West Elm,946.18
item326,Minimalist Sofa,Chair,Industrial,Glass,Brown,IKEA,110.15
item327,Minimalist Chair,Bed,Minimalist,Velvet,Black,IKEA,922.78
item328,Vintage Cabinet,Bed,Rustic,Wood,Blue,Herman Miller,392.41
item329,Minimalist Sofa,Bed,Rustic,Glass,Black,IKEA,670.52
item330,Modern Bed,Bed,Industrial,Metal,White,West Elm,827.67
item331,Vintage Cabinet,Sofa,Rustic,Glass,Black,West Elm,128.58
item332,Modern Sofa,Table,Rustic,Metal,Black,IKEA,98.34
item333,Minimalist Cabinet,Chair,Minimalist,Velvet,Gray,Herman Miller,959.47
item334,Industrial Sofa,Sofa,Modern,Velvet,Blue,Wayfair,174.72
item335,Minimalist Chair,Cabinet,Rustic,Velvet,Black,West Elm,112.56
item336,Industrial Chair,Table,Minimalist,Metal,Gray,Ashley,611.14
item337,Minimalist Cabinet,Sofa,Modern,Velvet,White,Wayfair,658.3
item338,Modern Sofa,Table,Vintage,Velvet,Gray,Wayfair,549.8
item339,Vintage Cabinet,Table,Vintage,Metal,Brown,IKEA,649.81
item340,Minimalist Sofa,Bed,Vintage,Metal,Gray,Wayfair,324.44
item341,Industrial Cabinet,Table,Modern,Velvet,White,Ashley,474.24
item342,Industrial Bed,Cabinet,Vintage,Glass,Black,Ashley,836.19
item343,Modern Chair,Table,Vintage,Metal,Blue,Wayfair,858.54
item344,Industrial Chair,Sofa,Modern,Leather,Blue,Herman Miller,519.54
item345,Industrial Sofa,Table,Minimalist,Glass,Black,Herman Miller,334.76
item346,Rustic Cabinet,Bed,Rustic,Velvet,White,Wayfair,325.02
item347,Modern Table,Bed,Industrial,Leather,Brown,Herman Miller,751.08
item348,Minimalist Chair,Chair,Industrial,Velvet,Gray,West Elm,190.74
item349,Industrial Cabinet,Bed,Minimalist,Wood,Black,Herman Miller,905.87
item350,Rustic Table,Bed,Industrial,Leather,Black,West Elm,352.04
item351,Modern Cabinet,Table,Rustic,Glass,Blue,Ashley,373.47
item352,Modern Sofa,Sofa,Rustic,Wood,Black,IKEA,333.86
item353,Minimalist Bed,Cabinet,Industrial,Metal,White,Ashley,481.26
item354,Vintage Cabinet,Cabinet,Industrial,Metal,Black,Wayfair,710.63
item355,Vintage Sofa,Sofa,Modern,Glass,White,Ashley,590.49
item356,Minimalist Bed,Cabinet,Industrial,Leather,White,IKEA,343.45
item357,Modern Bed,Chair,Industrial,Wood,Black,West Elm,468.21
item358,Rustic Bed,Table,Minimalist,Velvet,Black,Wayfair,461.56
item359,Industrial Chair,Sofa,Rustic,Glass,Black,West Elm,73.03
item360,Industrial Cabinet,Bed,Minimalist,Leather,Gray,IKEA,111.28
item361,Modern Bed,Chair,Vintage,Leather,Blue,IKEA,825.25
item362,Industrial Bed,Table,Industrial,Metal,White,Wayfair,957.78
item363,Industrial Sofa,Cabinet,Industrial,Wood,White,IKEA,200.32
item364,Minimalist Table,Table,Rustic,Metal,Blue,IKEA,114.07
item365,Rustic Bed,Sofa,Vintage,Leather,Black,West Elm,875.42
item366,Minimalist Bed,Chair,Industrial,Metal,Black,IKEA,554.56
item367,Vintage Chair,Cabinet,Rustic,Velvet,Blue,Wayfair,888.78
